NAME,Category,Sub Category,Main Ingredient_1,Ingredient_2
သံပုရာသီး / သံပုယိုသီးသုပ်,အသုပ်,အသီးအရွက်သုပ်,သံပုရာသီး,
သခွါးသီးသုပ်,အသုပ်,အသီးအရွက်သုပ်,သခွါးသီး,
ငါး‌သေတ္တာသုပ်,အသုပ်,အသားသုပ်,ငါး‌သေတ္တာ,
ကြက်သားရခိုင်သုပ်,အသုပ်,အသားသုပ်,ကြက်သား,
ပုဇွန်အစိမ်းသုပ်,အသုပ်,အသားသုပ်,ပုဇွန်,
ရခိုင်ကြက်သောက်ဆမ်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကြက်သား,
ငါးသောက်ဆမ်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ငါး,
မရမ်းသီးထောင်း,အရံဟင်း,အသီးအရွက်,မရမ်းသီး,
ပဲရွက်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ပဲရွက်,
ဒန့်ဒလွန်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ဒန့်ဒလွန်ရွက်,
ပိတ်ဆွယ်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ပိတ်စွယ်,
ဘူးသီးဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ဘူးသီး,
မုန်လာချဉ်သုပ်,အသုပ်,အသီးအရွက်သုပ်,မုန်လာချဥ်,
ကြာရိုး ပိန်းရိုးဟင်းချို,ဟင်းချို/ဟင်းရည်,ဟင်းချို,ကြာရိုး,
ဘူးသီးချဉ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ဘူးသီး,
ကန်စွန်းရိုးနီချဉ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ကန်စွန်းရိုးနီ,
ချဉ်ပေါင်ဟင်းချို,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ချဉ်ပေါင်ရွက်,
ချဉ်ပေါင်ခရမ်းသီးရောချဉ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ချဉ်ပေါင်ရွက်,ခရမ်းသီး
ဂျူးမြစ်ဂေါ်ရခါးသီးချဉ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ဂျူးမြစ်,ဂေါ်ရခါးသီး
မန်ကျည်းရွက်သနပ်ရွက်ချဉ်ရည်ဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,မန်ကျည်းရွက်,သနပ်ရွက်
သီးစုံပဲကုလားဟင်း,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,အသီးအရွက်များ,
ငါးနှပ်မရမ်းပြားချက်,ဟင်းချို/ဟင်းရည်,ရိုးရာ ဆမ်းစား အရည်သောက်ဟင်း,ငါး,မရမ်းပြား
မုန်ညင်းဖြူကြော်,အရံဟင်း,အသီးအရွက်,မုန်ညင်းဖြူ,
အစိမ်းကြော်,အရံဟင်း,အသီးအရွက်,အသီးအရွက်များ,
အစိမ်းကြော် (အသဲအမြစ်ပါ),အရံဟင်း,အသားနှင့် အသီးအရွက်,အသီးအရွက်များ,
ဘူးညွှန့်ကြော်,အရံဟင်း,အသီးအရွက်,ဘူးညွှန့်,
ဂွေးတောက်ရွက်ကြော်,အရံဟင်း,အသီးအရွက်,ဂွေးတောက်ရွက်,
ပဲပုတ်ချက်,အရံဟင်း,အသီးအရွက်,ပဲပုပ်,
ဆိတ်ဦးနှောက်ဟင်း,အသားဟင်း,ဆီပြန်ဟင်း / နှပ်ချက်,ဆိတ်သား,
ပေါက်ပန်းဖြူရွက်ကြော်,အရံဟင်း,အသီးအရွက်,ပေါက်ပန်းဖြူရွက်,
သခွားသီးသုပ်,အရံဟင်း,အသီးအရွက်,သခွါးသီး,
ပန်းဂေါ်ဖီကြော်,အရံဟင်း,အသီးအရွက်,ပန်းဂေါ်ဖီ,
ပန်းဂေါ်ဖီကြော် (အသဲအမြစ်ပါ),အရံဟင်း,အသားနှင့် အသီးအရွက်,ပန်းဂေါ်ဖီ,
မှိုကန်စွန်းရွက်ကြော်,အရံဟင်း,အသီးအရွက်,မှို,ကန်စွန်းရွက်
ပြောင်းဖူး‌ကြော်,အရံဟင်း,အသီးအရွက်,ပြောင်းဖူး‌,
ရုံးပတီသီးအစပ်ကြော်,အရံဟင်း,အသီးအရွက်,ရုံးပတီသီး,
ငါးခူရဲယိုရွက်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးရံ့အူအချဉ်ဆီပြန်,ငါးနှင့် ပင်လယ်စာ,ငါးဟင်း,ငါး,
ငါးခူကြော်,ငါးနှင့် ပင်လယ်စာ,ငါးနှင့် ပင်လယ်စာအကြော်များ,ငါး,
ကင်းပုံသီးချက်,အရံဟင်း,အသီးအရွက်,ကင်းပုံသီး,
ကြက်ဟင်းခါးသီးချက်,အရံဟင်း,အသီးအရွက်,ကြက်ဟင်းခါးသီး,
စိမ်းစားငါးပိကင်သုပ်,အရံဟင်း,အငန်ချက်ဟင်းများ,ငါးပိ,
ငံပြာရည်ချက်,အရံဟင်း,အငန်ချက်ဟင်းများ,ငံပြာရည်,
